#  试验概况 
台网,蒙特卡洛次数,成功,失败,3D误差>1km比例(%),严阈值成功(strict),补全兜底(completed)
原7台,300,300,0,10.416666666666668,298,2
20台加密,300,300,0,0.0,-,-

#  误差统计_原7台 
指标,均值,中位,95%分位,最大
水平误差(m),134.79352615675208,107.52559523089252,331.2581545020976,635.3971694484678
高程误差(m),454.529713357363,354.25778004913354,1195.9869002282342,1964.4787065959445
3D误差(m),485.79730984080527,373.91489368439727,1224.348663414286,2018.1502857756727
时刻误差(ms),522.5267874342942,394.48954044186735,1443.423772684013,2688.044913024944

#  误差统计_20台加密 
指标,均值,中位,95%分位,最大
水平误差(m),60.19922986240387,54.75846610490845,129.00245897921695,216.01013039420306
高程误差(m),168.94659947633426,136.82768588949875,449.219340075152,796.8893483787415
3D误差(m),186.61461355593863,148.62920873029697,456.9458670636376,809.8606527460125
时刻误差(ms),208.4688625131278,163.3703105371991,555.7984503704193,867.7159664876743

#  误差明细_原7台 
试验序号,残骸,水平误差(m),高程误差(m),3D误差(m),时刻误差(ms)
1,#1,231.2535250482502,1015.9595830282415,1041.9462880562319,1031.006562376092
1,#2,39.974347971267804,67.67294994790791,78.59756135135525,189.30733298602752
1,#3,86.15024225284212,841.3658057567209,845.7649102066599,828.1585500984186
1,#4,164.8989968063338,510.7223720796319,536.6833521643663,788.5605576033896
2,#1,82.05624856010759,651.0871874420936,656.2375740377978,598.5898119658355
2,#2,379.70192234512086,1214.1746100598357,1272.1609699823896,1467.3913866245377
2,#3,66.07999820598306,196.39970999597608,207.21827199696034,218.63087776698188
2,#4,94.36508778838376,16.91542824320095,95.86918955514464,179.5224955531154
3,#1,244.04812895607947,161.56891763473686,292.6841375828618,513.2813367355382
3,#2,331.11269943967,1032.5220301525678,1084.3142360407362,1175.168363903884
3,#3,80.09954834976712,36.80396274437226,88.15026556696141,57.56127651201659
3,#4,187.669283591563,240.4886221935958,305.04841813775164,656.0691645225489
4,#1,119.11380004365759,80.20913495627428,143.60223776555247,198.06335308692624
4,#2,74.37813431844576,145.9043757508898,163.76872023664836,35.326999977341345
4,#3,9.58857212916649,438.7751517528195,438.87990898557433,480.81364267686763
4,#4,106.90697932601846,26.042852123584453,110.03332393118289,102.3990237974104
5,#1,252.89612592854655,404.4940791323879,477.0449775050837,826.7737642222155
5,#2,65.96298013074771,252.67518891718646,261.1433817696043,291.0282949064733
5,#3,76.36433548043557,67.17417361069056,101.70487369663121,100.35287875710175
5,#4,142.15673194833602,164.471238727765,217.39209922827584,269.8882346852667
6,#1,173.62000580819205,239.63754505926045,295.92238749183156,531.2456013557068
6,#2,79.01675951366386,305.70752796006127,315.7542413578824,118.08307627185499
6,#3,77.86310231250904,695.2135090913034,699.5602089347078,578.9797062945237
6,#4,54.239622713748865,286.417717047485,291.5082251169305,38.777518945337874
7,#1,134.17462026396515,1016.8222105977238,1025.636503195855,933.75363320461
7,#2,158.91108698584745,635.1132030604913,654.6919231736256,721.5706704147262
7,#3,88.15308835489896,805.732699875387,810.5406532895108,563.0507630695636
7,#4,133.60067586942594,280.11053356471893,310.3402191252029,461.5400610718385
8,#1,110.33022980023529,212.07209529005013,239.0550840465118,105.35614119412173
